symbol,entries,closed_trades,wins,losses,win_rate_pct,realized_net_pnl,open_unrealized_net_pnl,total_symbol_pnl,stops,open_lots,open_notional_usdt
BTCUSDT,11,10,10,0,100.0,4.0076644492930935,-0.20663813718759577,3.8010263121054977,0,1,64.78064644857103
ETHUSDT,13,10,10,0,100.0,8.258231892774662,-1.4636786519290157,6.794553240845646,0,3,171.85302851856315
SOLUSDT,3,3,3,0,100.0,1.6374633109871142,0.0,1.6374633109871142,0,0,0.0
BNBUSDT,11,8,8,0,100.0,1.1488149891382242,-2.463320407602474,-1.3145054184642497,0,3,233.8608317209771
XRPUSDT,11,9,9,0,100.0,4.090868855410533,-0.4305778209797909,3.660291034430742,0,2,143.2287791768315
DOGEUSDT,4,4,4,0,100.0,3.1339493577698723,0.0,3.1339493577698723,0,0,0.0
ADAUSDT,9,9,9,0,100.0,12.69149850128415,0.0,12.69149850128415,0,0,0.0
AVAXUSDT,8,6,6,0,100.0,2.2614303601951558,0.7563200635844421,3.017750423779598,0,2,66.45762493494887
LINKUSDT,5,5,5,0,100.0,5.515211340972347,0.0,5.515211340972347,0,0,0.0
SUIUSDT,8,8,8,0,100.0,15.55375282466808,0.0,15.55375282466808,0,0,0.0
NEARUSDT,5,5,5,0,100.0,18.570912394430504,0.0,18.570912394430504,0,0,0.0
APTUSDT,2,2,2,0,100.0,3.5110698489486856,0.0,3.5110698489486856,0,0,0.0
LTCUSDT,9,9,9,0,100.0,11.1821060254329,0.0,11.1821060254329,0,0,0.0
DOTUSDT,4,4,4,0,100.0,22.49790942419067,0.0,22.49790942419067,0,0,0.0
BCHUSDT,13,6,6,0,100.0,6.613011824059739,-0.669231055085075,5.943780768974664,0,7,396.40785448125644
TRXUSDT,5,4,4,0,100.0,2.010656140888228,-2.7314919728456,-0.720835831957372,0,1,123.70275933718727
UNIUSDT,8,8,8,0,100.0,115.17414667450628,0.0,115.17414667450628,0,0,0.0
FILUSDT,8,7,7,0,100.0,23.205001453998168,27.620282382151235,50.8252838361494,0,1,186.13753560534423
ETCUSDT,7,3,3,0,100.0,7.553949675664733,3.3108170519537254,10.86476672761846,0,4,169.93174544541034
INJUSDT,4,2,2,0,100.0,1.1625816169282615,0.44340181180108507,1.6059834287293464,0,2,30.060394848125725
WIFUSDT,4,4,4,0,100.0,31.373998735633037,0.0,31.373998735633037,0,0,0.0
RENDERUSDT,4,4,4,0,100.0,4.368046675598484,0.0,4.368046675598484,0,0,0.0
TIAUSDT,4,2,2,0,100.0,1.1665098402963006,2.3841101997391556,3.550620040035456,0,2,74.44217300885987
ARBUSDT,13,12,12,0,100.0,58.02345011916752,0.7477577231382281,58.77120784230575,0,1,59.25002772627561
OPUSDT,7,7,7,0,100.0,28.396446326699365,0.0,28.396446326699365,0,0,0.0
ATOMUSDT,11,10,10,0,100.0,3.536821988017489,0.0890737174430426,3.6258957054605316,0,1,5.956540955313983
SEIUSDT,8,8,8,0,100.0,20.19043245135091,0.0,20.19043245135091,0,0,0.0
STXUSDT,5,5,5,0,100.0,29.19432871928983,0.0,29.19432871928983,0,0,0.0
ORDIUSDT,12,4,4,0,100.0,3.33507721739867,21.29624218220674,24.63131939960541,0,8,619.6293215922764
AAVEUSDT,11,9,9,0,100.0,32.13688122152042,2.612200448135562,34.74908166965598,0,2,27.82221521490561
ICPUSDT,4,4,4,0,100.0,6.321569595597699,0.0,6.321569595597699,0,0,0.0
GALAUSDT,6,3,3,0,100.0,5.624441730445524,25.202871479370824,30.827313209816346,0,3,182.9082322537443
KASUSDT,6,6,6,0,100.0,19.00333761935522,0.0,19.00333761935522,0,0,0.0
JASMYUSDT,5,5,5,0,100.0,11.282214113377394,0.0,11.282214113377394,0,0,0.0
WLDUSDT,5,5,5,0,100.0,8.529977348486208,0.0,8.529977348486208,0,0,0.0
ARUSDT,5,2,2,0,100.0,0.4982995122127072,18.68370657159802,19.182006083810727,0,3,296.2302279392074
ALGOUSDT,5,5,5,0,100.0,4.037408545733285,0.0,4.037408545733285,0,0,0.0
RUNEUSDT,11,11,11,0,100.0,27.148565080334315,0.0,27.148565080334315,0,0,0.0
THETAUSDT,10,7,7,0,100.0,11.37111928557457,7.949352068699286,19.320471354273856,0,3,90.8973364233119
ENAUSDT,10,10,10,0,100.0,37.17082905311148,0.0,37.17082905311148,0,0,0.0
NOTUSDT,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
